event,time,home team,away team,home score,away score
2014 W,6/11/2014 18:30:00,#dynasty,Go Green,12,15
2014 W,6/11/2014 18:30:00,Gopher the Gold,Mor-roons,9,15
2014 W,6/11/2014 18:30:00,Salt Shot Lime,Threat Level Midnight,9,15
2014 M,6/16/2014 18:30:00,YellowBlue,The Grapes of Wrath,15,13
2014 M,6/16/2014 18:30:00,Hot Maybe,Public Anemone Number One,15,8
2014 M,6/16/2014 18:30:00,Steamin' Sea Men,The New Black,12,15
2014 M,6/16/2014 18:30:00,YOLO-W,Clifford,10,15
2014 M,6/16/2014 18:30:00,Blue BarraCUDAs,Bismuth Subsalicylate (B.S.),15,11
2014 M,6/23/2014 18:30:00,Public Anemone Number One,YellowBlue,11,15
2014 M,6/23/2014 18:30:00,The Grapes of Wrath,The New Black,15,4
2014 M,6/23/2014 18:30:00,Hot Maybe,Clifford,14,15
2014 M,6/23/2014 18:30:00,Steamin' Sea Men,Bismuth Subsalicylate (B.S.),8,15
2014 M,6/23/2014 18:30:00,YOLO-W,Blue BarraCUDAs,6,15
2014 W,6/25/2014 18:30:00,Silver's Hot Carl,Go Green,16,14
2014 W,6/25/2014 18:30:00,Silver Bullets,Mor-roons,15,11
2014 W,6/25/2014 18:30:00,First Blood,Threat Level Midnight,13,15
2014 W,6/25/2014 18:30:00,White Hot Baby,Salt Shot Lime,15,9
2014 W,6/25/2014 18:30:00,#dynasty,Gopher the Gold,15,13
2014 M,6/30/2014 18:30:00,YellowBlue,The New Black,15,8
2014 M,6/30/2014 18:30:00,Public Anemone Number One,Clifford,15,5
2014 M,6/30/2014 18:30:00,The Grapes of Wrath,Bismuth Subsalicylate (B.S.),15,7
2014 M,6/30/2014 18:30:00,Hot Maybe,Blue BarraCUDAs,8,15
2014 M,6/30/2014 18:30:00,Steamin' Sea Men,YOLO-W,15,7
2014 W,7/2/2014 18:30:00,Silver's Hot Carl,#dynasty,8,15
2014 W,7/2/2014 18:30:00,Gopher the Gold,White Hot Baby,14,16
2014 W,7/2/2014 18:30:00,Salt Shot Lime,First Blood,10,15
2014 W,7/2/2014 18:30:00,Threat Level Midnight,Silver Bullets,15,8
2014 W,7/2/2014 18:30:00,Mor-roons,Go Green,15,10
2014 M,7/7/2014 18:30:00,YellowBlue,Steamin' Sea Men,13,11
2014 M,7/7/2014 18:30:00,YOLO-W,Hot Maybe,15,9
2014 M,7/7/2014 18:30:00,Blue BarraCUDAs,The Grapes of Wrath,9,15
2014 M,7/7/2014 18:30:00,Bismuth Subsalicylate (B.S.),Public Anemone Number One,10,9
2014 M,7/7/2014 18:30:00,Clifford,The New Black,10,15
2014 W,7/9/2014 18:30:00,Silver Bullets,#dynasty,9,15
2014 W,7/9/2014 18:30:00,Mor-roons,Salt Shot Lime,15,12
2014 W,7/9/2014 18:30:00,Go Green,Gopher the Gold,11,15
2014 W,7/9/2014 18:30:00,Silver's Hot Carl,Threat Level Midnight,16,17
2014 W,7/9/2014 18:30:00,First Blood,White Hot Baby,7,15
2014 M,7/14/2014 18:30:00,YellowBlue,Bismuth Subsalicylate (B.S.),7,8
2014 M,7/14/2014 18:30:00,Clifford,Blue BarraCUDAs,8,15
2014 M,7/14/2014 18:30:00,The New Black,YOLO-W,10,12
2014 M,7/14/2014 18:30:00,Public Anemone Number One,Steamin' Sea Men,10,14
2014 M,7/14/2014 18:30:00,The Grapes of Wrath,Hot Maybe,15,8
2014 W,7/16/2014 18:30:00,White Hot Baby,Silver's Hot Carl,17,16
2014 W,7/16/2014 18:30:00,#dynasty,First Blood,16,17
2014 W,7/16/2014 18:30:00,Gopher the Gold,Silver Bullets,12,15
2014 W,7/16/2014 18:30:00,Salt Shot Lime,Go Green,15,10
2014 W,7/16/2014 18:30:00,Threat Level Midnight,Mor-roons,15,12
2014 M,7/21/2014 18:30:00,Blue BarraCUDAs,YellowBlue,15,11
2014 M,7/21/2014 18:30:00,Bismuth Subsalicylate (B.S.),YOLO-W,15,9
2014 M,7/21/2014 18:30:00,Clifford,Steamin' Sea Men,15,8
2014 M,7/21/2014 18:30:00,The New Black,Hot Maybe,15,13
2014 M,7/21/2014 18:30:00,Public Anemone Number One,The Grapes of Wrath,5,15
2014 W,7/23/2014 18:30:00,Silver's Hot Carl,Gopher the Gold,15,12
2014 W,7/23/2014 18:30:00,Salt Shot Lime,#dynasty,13,15
2014 W,7/23/2014 18:30:00,Threat Level Midnight,White Hot Baby,15,12
2014 W,7/23/2014 18:30:00,Mor-roons,First Blood,15,12
2014 W,7/23/2014 18:30:00,Go Green,Silver Bullets,12,15
2014 M,7/28/2014 18:30:00,YellowBlue,YOLO-W,15,3
2014 M,7/28/2014 18:30:00,Blue BarraCUDAs,Steamin' Sea Men,15,6
2014 M,7/28/2014 18:30:00,Bismuth Subsalicylate (B.S.),Hot Maybe,15,6
2014 M,7/28/2014 18:30:00,Clifford,The Grapes of Wrath,7,15
2014 M,7/28/2014 18:30:00,The New Black,Public Anemone Number One,7,15
2014 W,7/30/2014 18:30:00,Mor-roons,Silver's Hot Carl,10,7
2014 W,7/30/2014 18:30:00,Silver Bullets,Salt Shot Lime,14,9
2014 W,7/30/2014 18:30:00,Go Green,Threat Level Midnight,7,10
2014 W,7/30/2014 18:30:00,First Blood,Gopher the Gold,13,14
2014 W,7/30/2014 18:30:00,White Hot Baby,#dynasty,13,11
2014 W,7/30/2014 19:00:00,First Blood,Gopher the Gold,15,5
2014 W,7/30/2014 19:00:00,Silver Bullets,Salt Shot Lime,15,11
2014 W,7/30/2014 19:00:00,White Hot Baby,#dynasty,15,14
2014 W,7/30/2014 19:00:00,Mor-roons,Silver's Hot Carl,13,8
2014 W,7/30/2014 19:00:00,Go Green,Threat Level Midnight,10,13
2014 W,8/6/2014 18:30:00,Salt Shot Lime,Silver's Hot Carl,11,15
2014 W,8/6/2014 18:30:00,Threat Level Midnight,Gopher the Gold,15,7
2014 W,8/6/2014 18:30:00,Mor-roons,#dynasty,15,13
2014 W,8/6/2014 18:30:00,Go Green,White Hot Baby,13,15
2014 W,8/6/2014 18:30:00,Silver Bullets,First Blood,16,17
2015 W,5/27/2015 18:30:00,Hazy Rain,Optimus Lime,15,13
2015 W,5/27/2015 18:30:00,LIGHTBLUE%#@$YOU,Black Eyed D,11,15
2015 W,5/27/2015 18:30:00,Blanc Space,Giraphite,15,6
2015 W,5/27/2015 18:30:00,All King Gregovich's Horses,Kale(ing) Them Softly,6,15
2015 W,5/27/2015 18:30:00,Orange Iguanas,Mean Girls,16,17
2015 M,6/1/2015 18:30:00,pOrange Stars,Cardinal Sin,14,16
2015 M,6/1/2015 18:30:00,Royale With Cheese,Another Brick N' A Stall,9,15
2015 M,6/1/2015 18:30:00,Clubbin' Baby Seals,Purple Pistons,15,6
2015 M,6/1/2015 18:30:00,Electric T-EEEEEEEEEELLL,Dirty Limerick,15,9
2015 M,6/1/2015 18:30:00,Glow with the Flow,The Phiting Shark-natos,3,15
2015 W,6/3/2015 18:30:00,Orange Iguanas,All King Gregovich's Horses,15,12
2015 W,6/3/2015 18:30:00,Kale(ing) Them Softly,Blanc Space,11,15
2015 W,6/3/2015 18:30:00,Optimus Lime,Mean Girls,17,15
2015 W,6/3/2015 18:30:00,Black Eyed D,Hazy Rain,14,16
2015 W,6/3/2015 18:30:00,Giraphite,LIGHTBLUE%#@$YOU,10,15
2015 M,6/8/2015 18:30:00,Glow with the Flow,Electric T-EEEEEEEEEELLL,7,15
2015 M,6/8/2015 18:30:00,Dirty Limerick,Clubbin' Baby Seals,12,15
2015 M,6/8/2015 18:30:00,Cardinal Sin,The Phiting Shark-natos,15,16
2015 M,6/8/2015 18:30:00,Another Brick N' A Stall,pOrange Stars,15,8
2015 M,6/8/2015 18:30:00,Purple Pistons,Royale With Cheese,17,15
2015 W,6/10/2015 18:30:00,Blanc Space,Orange Iguanas,12,15
2015 W,6/10/2015 18:30:00,Mean Girls,All King Gregovich's Horses,15,12
2015 W,6/10/2015 18:30:00,LIGHTBLUE%#@$YOU,Kale(ing) Them Softly,15,10
2015 W,6/10/2015 18:30:00,Optimus Lime,Black Eyed D,15,17
2015 W,6/10/2015 18:30:00,Hazy Rain,Giraphite,15,12
2015 M,6/15/2015 18:30:00,Clubbin' Baby Seals,Glow with the Flow,15,4
2015 M,6/15/2015 18:30:00,The Phiting Shark-natos,Electric T-EEEEEEEEEELLL,12,15
2015 M,6/15/2015 18:30:00,Royale With Cheese,Dirty Limerick,14,16
2015 M,6/15/2015 18:30:00,Cardinal Sin,Another Brick N' A Stall,13,15
2015 M,6/15/2015 18:30:00,pOrange Stars,Purple Pistons,15,9
2015 W,6/17/2015 18:30:00,All King Gregovich's Horses,Hazy Rain,15,17
2015 W,6/17/2015 18:30:00,Orange Iguanas,Optimus Lime,6,15
2015 W,6/17/2015 18:30:00,Blanc Space,LIGHTBLUE%#@$YOU,13,15
2015 W,6/17/2015 18:30:00,Giraphite,Mean Girls,15,11
2015 W,6/17/2015 18:30:00,Kale(ing) Them Softly,Black Eyed D,9,15
2015 M,6/22/2015 18:30:00,Electric T-EEEEEEEEEELLL,pOrange Stars,14,8
2015 M,6/22/2015 18:30:00,Glow with the Flow,Cardinal Sin,2,15
2015 M,6/22/2015 18:30:00,Clubbin' Baby Seals,Royale With Cheese,15,6
2015 M,6/22/2015 18:30:00,Purple Pistons,The Phiting Shark-natos,7,15
2015 M,6/22/2015 18:30:00,Dirty Limerick,Another Brick N' A Stall,16,14
2015 W,6/24/2015 18:30:00,Mean Girls,Kale(ing) Them Softly,7,15
2015 W,6/24/2015 18:30:00,LIGHTBLUE%#@$YOU,Hazy Rain,15,11
2015 W,6/24/2015 18:30:00,Orange Iguanas,Giraphite,15,8
2015 W,6/24/2015 18:30:00,Blanc Space,Optimus Lime,6,15
2015 W,6/24/2015 18:30:00,All King Gregovich's Horses,Black Eyed D,6,15
2015 M,6/29/2015 18:30:00,The Phiting Shark-natos,Dirty Limerick,15,12
2015 M,6/29/2015 18:30:00,Royale With Cheese,pOrange Stars,6,15
2015 M,6/29/2015 18:30:00,Glow with the Flow,Purple Pistons,12,15
2015 M,6/29/2015 18:30:00,Clubbin' Baby Seals,Cardinal Sin,15,9
2015 M,6/29/2015 18:30:00,Electric T-EEEEEEEEEELLL,Another Brick N' A Stall,16,14
2015 W,7/1/2015 18:30:00,Black Eyed D,Orange Iguanas,15,8
2015 W,7/1/2015 18:30:00,Optimus Lime,All King Gregovich's Horses,15,9
2015 W,7/1/2015 18:30:00,Giraphite,Kale(ing) Them Softly,10,15
2015 W,7/1/2015 18:30:00,Mean Girls,LIGHTBLUE%#@$YOU,16,17
2015 W,7/1/2015 18:30:00,Hazy Rain,Blanc Space,15,9
2015 M,7/6/2015 18:30:00,Another Brick N' A Stall,Glow with the Flow,15,11
2015 M,7/6/2015 18:30:00,Cardinal Sin,Electric T-EEEEEEEEEELLL,15,12
2015 M,7/6/2015 18:30:00,Purple Pistons,Dirty Limerick,17,16
2015 M,7/6/2015 18:30:00,The Phiting Shark-natos,Royale With Cheese,11,15
2015 M,7/6/2015 18:30:00,pOrange Stars,Clubbin' Baby Seals,6,15
2015 W,7/8/2015 18:30:00,Orange Iguanas,LIGHTBLUE%#@$YOU,12,15
2015 W,7/8/2015 18:30:00,All King Gregovich's Horses,Blanc Space,16,14
2015 W,7/8/2015 18:30:00,Mean Girls,Black Eyed D,5,15
2015 W,7/8/2015 18:30:00,Kale(ing) Them Softly,Hazy Rain,15,11
2015 W,7/8/2015 18:30:00,Giraphite,Optimus Lime,8,15
2015 M,7/13/2015 18:30:00,Glow with the Flow,Royale With Cheese,15,12
2015 M,7/13/2015 18:30:00,Electric T-EEEEEEEEEELLL,Clubbin' Baby Seals,15,11
2015 M,7/13/2015 18:30:00,The Phiting Shark-natos,Another Brick N' A Stall,8,15
2015 M,7/13/2015 18:30:00,Dirty Limerick,pOrange Stars,8,15
2015 M,7/13/2015 18:30:00,Purple Pistons,Cardinal Sin,11,15
2015 W,7/15/2015 18:30:00,Blanc Space,Mean Girls,15,11
2015 W,7/15/2015 18:30:00,Black Eyed D,Giraphite,15,13
2015 W,7/15/2015 18:30:00,LIGHTBLUE%#@$YOU,All King Gregovich's Horses,15,13
2015 W,7/15/2015 18:30:00,Hazy Rain,Orange Iguanas,15,5
2015 W,7/15/2015 18:30:00,Optimus Lime,Kale(ing) Them Softly,15,13
2015 M,7/20/2015 18:30:00,Clubbin' Baby Seals,The Phiting Shark-natos,15,6
2015 M,7/20/2015 18:30:00,Another Brick N' A Stall,Purple Pistons,15,8
2015 M,7/20/2015 18:30:00,Royale With Cheese,Electric T-EEEEEEEEEELLL,8,15
2015 M,7/20/2015 18:30:00,pOrange Stars,Glow with the Flow,15,10
2015 M,7/20/2015 18:30:00,Cardinal Sin,Dirty Limerick,16,14
2015 W,7/22/2015 18:30:00,Kale(ing) Them Softly,Orange Iguanas,12,15
2015 W,7/22/2015 18:30:00,Mean Girls,Hazy Rain,7,15
2015 W,7/22/2015 18:30:00,Giraphite,All King Gregovich's Horses,17,15
2015 W,7/22/2015 18:30:00,Black Eyed D,Blanc Space,16,17
2015 W,7/22/2015 18:30:00,Optimus Lime,LIGHTBLUE%#@$YOU,15,17
2015 M,7/27/2015 18:30:00,Dirty Limerick,Glow with the Flow,15,12
2015 M,7/27/2015 18:30:00,The Phiting Shark-natos,pOrange Stars,15,13
2015 M,7/27/2015 18:30:00,Purple Pistons,Electric T-EEEEEEEEEELLL,9,15
2015 M,7/27/2015 18:30:00,Another Brick N' A Stall,Clubbin' Baby Seals,11,15
2015 M,7/27/2015 18:30:00,Cardinal Sin,Royale With Cheese,13,15
2015 M,8/3/2015 18:30:00,Royale With Cheese,Another Brick N' A Stall,15,17
2015 M,8/3/2015 18:30:00,Electric T-EEEEEEEEEELLL,Dirty Limerick,12,13
2015 M,8/3/2015 18:30:00,pOrange Stars,Cardinal Sin,13,14
2015 M,8/3/2015 18:30:00,Glow with the Flow,The Phiting Shark-natos,15,11
2015 M,8/3/2015 18:30:00,Clubbin' Baby Seals,Purple Pistons,15,7
2015 W,8/5/2015 18:30:00,LIGHTBLUE%#@$YOU,Black Eyed D,16,14
2015 W,8/5/2015 18:30:00,All King Gregovich's Horses,Kale(ing) Them Softly,15,17
2015 W,8/5/2015 18:30:00,Hazy Rain,Optimus Lime,15,7
2015 W,8/5/2015 18:30:00,Orange Iguanas,Mean Girls,10,15
2015 W,8/5/2015 18:30:00,Blanc Space,Giraphite,15,17
2015 M,8/10/2015 18:30:00,Cardinal Sin,The Phiting Shark-natos,15,9
2015 M,8/10/2015 18:30:00,Another Brick N' A Stall,pOrange Stars,15,7
2015 M,8/10/2015 18:30:00,Purple Pistons,Royale With Cheese,14,12
2015 M,8/10/2015 18:30:00,Dirty Limerick,Clubbin' Baby Seals,5,15
2015 M,8/10/2015 18:30:00,Glow with the Flow,Electric T-EEEEEEEEEELLL,8,15
2016 M,5/23/2016 18:30:00,Alec/Kat,Sauter/Floro,15,8
2016 M,5/23/2016 18:30:00,Dober/Billy,Fancher,15,8
2016 M,5/23/2016 18:30:00,BK/Meister,Devo/Kate,15,13
2016 M,5/23/2016 18:30:00,Greg/Tucker,Tree/Felicia,10,15
2016 M,5/23/2016 18:30:00,Kramer/Erin,Gordy/Michelle,9,15
2016 W,5/25/2016 18:30:00,Eliot/Zeus,Pops/Harley,16,14
2016 W,5/25/2016 18:30:00,Natas/JRod,Spike/Mary,14,15
2016 W,5/25/2016 18:30:00,KBau/Chrissy,Phil/Kristen,13,15
2016 W,5/25/2016 18:30:00,Rosser/Sirey,Tang/Shakes,15,4
2016 W,5/25/2016 18:30:00,Hamza/Mary Beth,Alec/Chelsea,15,10
2016 W,6/1/2016 18:30:00,Hamza/Mary Beth,Rosser/Sirey,10,13
2016 W,6/1/2016 18:30:00,Tang/Shakes,KBau/Chrissy,11,9
2016 W,6/1/2016 18:30:00,Pops/Harley,Alec/Chelsea,10,14
2016 W,6/1/2016 18:30:00,Spike/Mary,Eliot/Zeus,7,15
2016 W,6/1/2016 18:30:00,Natas/JRod,Phil/Kristen,10,10
2016 M,6/6/2016 18:30:00,Gordy/Michelle,Greg/Tucker,13,13
2016 M,6/6/2016 18:30:00,Tree/Felicia,BK/Meister,11,12
2016 M,6/6/2016 18:30:00,Kramer/Erin,Sauter/Floro,15,10
2016 M,6/6/2016 18:30:00,Dober/Billy,Alec/Kat,14,16
2016 M,6/6/2016 18:30:00,Devo/Kate,Fancher,12,10
2016 W,6/8/2016 18:30:00,KBau/Chrissy,Hamza/Mary Beth,5,15
2016 W,6/8/2016 18:30:00,Alec/Chelsea,Rosser/Sirey,5,15
2016 W,6/8/2016 18:30:00,Natas/JRod,Tang/Shakes,15,10
2016 W,6/8/2016 18:30:00,Pops/Harley,Spike/Mary,13,15
2016 W,6/8/2016 18:30:00,Eliot/Zeus,Phil/Kristen,13,15
2016 M,6/13/2016 18:30:00,BK/Meister,Gordy/Michelle,8,15
2016 M,6/13/2016 18:30:00,Kramer/Erin,Greg/Tucker,12,15
2016 M,6/13/2016 18:30:00,Fancher,Tree/Felicia,9,15
2016 M,6/13/2016 18:30:00,Sauter/Floro,Dober/Billy,13,15
2016 M,6/13/2016 18:30:00,Devo/Kate,Alec/Kat,17,16
2016 M,6/20/2016 18:30:00,Greg/Tucker,Alec/Kat,7,15
2016 M,6/20/2016 18:30:00,Sauter/Floro,Gordy/Michelle,15,5
2016 M,6/20/2016 18:30:00,Fancher,BK/Meister,13,15
2016 M,6/20/2016 18:30:00,Kramer/Erin,Devo/Kate,15,13
2016 M,6/20/2016 18:30:00,Tree/Felicia,Dober/Billy,12,15
2016 W,6/22/2016 18:30:00,Alec/Chelsea,Tang/Shakes,15,9
2016 W,6/22/2016 18:30:00,Natas/JRod,Eliot/Zeus,7,15
2016 W,6/22/2016 18:30:00,Hamza/Mary Beth,Phil/Kristen,10,15
2016 W,6/22/2016 18:30:00,KBau/Chrissy,Pops/Harley,12,15
2016 W,6/22/2016 18:30:00,Rosser/Sirey,Spike/Mary,15,9
2016 M,6/27/2016 18:30:00,Kramer/Erin,Tree/Felicia,10,15
2016 M,6/27/2016 18:30:00,Fancher,Alec/Kat,12,15
2016 M,6/27/2016 18:30:00,Gordy/Michelle,Devo/Kate,13,15
2016 M,6/27/2016 18:30:00,BK/Meister,Sauter/Floro,15,13
2016 M,6/27/2016 18:30:00,Dober/Billy,Greg/Tucker,15,8
2016 W,6/29/2016 18:30:00,Spike/Mary,Hamza/Mary Beth,10,15
2016 W,6/29/2016 18:30:00,Pops/Harley,Rosser/Sirey,15,17
2016 W,6/29/2016 18:30:00,Phil/Kristen,Tang/Shakes,15,8
2016 W,6/29/2016 18:30:00,Alec/Chelsea,Natas/JRod,13,15
2016 W,6/29/2016 18:30:00,Eliot/Zeus,KBau/Chrissy,15,6
2016 W,7/6/2016 18:30:00,Hamza/Mary Beth,Natas/JRod,12,15
2016 W,7/6/2016 18:30:00,Rosser/Sirey,KBau/Chrissy,10,15
2016 W,7/6/2016 18:30:00,Alec/Chelsea,Spike/Mary,10,15
2016 W,7/6/2016 18:30:00,Tang/Shakes,Eliot/Zeus,16,17
2016 W,7/6/2016 18:30:00,Phil/Kristen,Pops/Harley,15,8
2016 M,7/11/2016 18:30:00,Gordy/Michelle,Dober/Billy,15,12
2016 M,7/11/2016 18:30:00,Greg/Tucker,Sauter/Floro,15,8
2016 M,7/11/2016 18:30:00,Devo/Kate,Tree/Felicia,14,12
2016 M,7/11/2016 18:30:00,Kramer/Erin,Fancher,15,11
2016 M,7/11/2016 18:30:00,Alec/Kat,BK/Meister,15,10
2016 W,7/13/2016 18:30:00,KBau/Chrissy,Alec/Chelsea,12,10
2016 W,7/13/2016 18:30:00,Spike/Mary,Phil/Kristen,6,15
2016 W,7/13/2016 18:30:00,Natas/JRod,Rosser/Sirey,8,15
2016 W,7/13/2016 18:30:00,Eliot/Zeus,Hamza/Mary Beth,14,12
2016 W,7/13/2016 18:30:00,Pops/Harley,Tang/Shakes,12,14
2016 M,7/18/2016 18:30:00,Gordy/Michelle,Fancher,15,8
2016 M,7/18/2016 18:30:00,Greg/Tucker,BK/Meister,12,15
2016 M,7/18/2016 18:30:00,Kramer/Erin,Dober/Billy,11,15
2016 M,7/18/2016 18:30:00,Alec/Kat,Tree/Felicia,11,15
2016 M,7/18/2016 18:30:00,Sauter/Floro,Devo/Kate,16,16
2016 W,7/20/2016 18:30:00,Tang/Shakes,Hamza/Mary Beth,15,13
2016 W,7/20/2016 18:30:00,Alec/Chelsea,Eliot/Zeus,15,9
2016 W,7/20/2016 18:30:00,Phil/Kristen,Rosser/Sirey,15,6
2016 W,7/20/2016 18:30:00,Spike/Mary,KBau/Chrissy,13,15
2016 W,7/20/2016 18:30:00,Pops/Harley,Natas/JRod,10,15
2016 M,7/25/2016 18:30:00,Kramer/Erin,BK/Meister,13,15
2016 M,7/25/2016 18:30:00,Dober/Billy,Devo/Kate,15,5
2016 M,7/25/2016 18:30:00,Fancher,Greg/Tucker,15,11
2016 M,7/25/2016 18:30:00,Alec/Kat,Gordy/Michelle,9,15
2016 M,7/25/2016 18:30:00,Tree/Felicia,Sauter/Floro,15,13
2016 W,7/27/2016 18:30:00,Rosser/Sirey,Eliot/Zeus,16,14
2016 W,7/27/2016 18:30:00,Hamza/Mary Beth,Pops/Harley,12,15
2016 W,7/27/2016 18:30:00,Natas/JRod,KBau/Chrissy,12,15
2016 W,7/27/2016 18:30:00,Phil/Kristen,Alec/Chelsea,10,15
2016 W,7/27/2016 18:30:00,Tang/Shakes,Spike/Mary,12,15
2016 M,8/1/2016 18:30:00,Tree/Felicia,Gordy/Michelle,6,15
2016 M,8/1/2016 18:30:00,Kramer/Erin,Alec/Kat,4,15
2016 M,8/1/2016 18:30:00,Devo/Kate,Greg/Tucker,11,15
2016 M,8/1/2016 18:30:00,BK/Meister,Dober/Billy,10,15
2016 M,8/1/2016 18:30:00,Sauter/Floro,Fancher,15,12
2016 W,8/3/2016 18:30:00,Pops/Harley,Alec/Chelsea,15,11
2016 W,8/3/2016 18:30:00,Spike/Mary,Eliot/Zeus,11,15
2016 W,8/3/2016 18:30:00,Phil/Kristen,Natas/JRod,15,13
2016 W,8/3/2016 18:30:00,Tang/Shakes,KBau/Chrissy,12,15
2016 W,8/3/2016 18:30:00,Hamza/Mary Beth,Rosser/Sirey,12,15
2016 M,8/8/2016 18:30:00,Fancher,Dober/Billy,5,15
2016 M,8/8/2016 18:30:00,Greg/Tucker,Tree/Felicia,15,9
2016 M,8/8/2016 18:30:00,Alec/Kat,Sauter/Floro,15,8
2016 M,8/8/2016 18:30:00,Gordy/Michelle,Kramer/Erin,15,7
2016 M,8/8/2016 18:30:00,BK/Meister,Devo/Kate,15,9